iter	Passed	Remaining
893	44515	30175
894	44547	30113
895	44605	30068
896	44649	30015
897	44697	29964
898	44729	29902
899	44763	29842
900	44794	29780
901	44847	29732
902	44899	29684
903	44961	29642
904	45013	29594
905	45068	29548
906	45117	29498
907	45147	29435
908	45181	29375
909	45222	29320
910	45270	29269
911	45300	29207
912	45351	29158
913	45391	29101
914	45440	29052
915	45476	28994
916	45510	28934
917	45560	28884
918	45591	28823
919	45622	28761
920	45658	28704
921	45687	28641
922	45717	28579
923	45750	28519
924	45786	28461
925	45822	28403
926	45853	28343
927	45887	28284
928	45929	28230
929	45982	28182
930	46034	28134
931	46079	28082
932	46126	28031
933	46179	27984
934	46225	27933
935	46271	27881
936	46309	27825
937	46340	27764
938	46389	27715
939	46452	27673
940	46502	27624
941	46542	27569
942	46597	27523
943	46631	27465
944	46687	27419
945	46736	27369
946	46784	27319
947	46824	27265
948	46876	27217
949	46916	27161
950	46972	27116
951	47003	27056
952	47039	26999
953	47091	26951
954	47140	26901
955	47175	26844
956	47218	26791
957	47249	26732
958	47296	26681
959	47327	26621
960	47359	26562
961	47422	26521
962	47475	26474
963	47535	26430
964	47568	26372
965	47611	26319
966	47641	26259
967	47690	26209
968	47746	26164
969	47798	26116
970	47841	26064
971	47915	26028
972	47964	25978
973	48001	25922
974	48044	25870
975	48103	25826
976	48155	25778
977	48217	25735
978	48272	25689
979	48308	25633
980	48340	25574
981	48389	25524
982	48429	25470
983	48462	25413
984	48509	25362
985	48562	25315
986	48598	25259
987	48643	25208
988	48694	25159
989	48743	25110
990	48775	25051
991	48830	25006
992	48871	24952
993	48901	24893
994	48935	24836
995	48985	24788
996	49034	24738
997	49085	24690
998	49136	24642
999	49195	24597
1000	49245	24548
1001	49297	24501
1002	49349	24453
1003	49412	24410
1004	49459	24360
1005	49521	24317
1006	49573	24269
1007	49625	24222
1008	49656	24164
1009	49704	24113
1010	49753	24064
1011	49782	24005
1012	49830	23956
1013	49881	23907
1014	49911	23849
1015	49959	23799
1016	50010	23751
1017	50058	23701
1018	50106	23651
1019	50137	23593
1020	50193	23548
1021	50231	23493
1022	50278	23443
1023	50330	23395
1024	50365	23340
1025	50429	23297
1026	50484	23251
1027	50518	23195
1028	50552	23139
1029	50583	23081
1030	50640	23036
1031	50690	22987
1032	50742	22939
1033	50775	22883
1034	50826	22835
1035	50873	22784
1036	50930	22739
1037	50979	22690
1038	51009	22632
1039	51062	22585
1040	51093	22528
1041	51132	22474
1042	51169	22420
1043	51233	22377
1044	51300	22336
1045	51365	22294
1046	51420	22247
1047	51486	22206
1048	51528	22153
1049	51579	22105
1050	51624	22054
1051	51686	22010
1052	51743	21965
1053	51796	21917
1054	51827	21860
1055	51862	21805
1056	51902	21752
1057	51959	21707
1058	52017	21661
1059	52067	21613
1060	52110	21561
1061	52181	21521
1062	52228	21471
1063	52282	21423
1064	52340	21378
1065	52407	21336
1066	52464	21290
1067	52506	21238
1068	52549	21187
1069	52601	21138
1070	52653	21090
1071	52698	21039
1072	52737	20986
1073	52770	20931
1074	52802	20875
1075	52837	20820
1076	52890	20773
1077	52923	20717
1078	52979	20671
1079	53012	20615
1080	53062	20567
1081	53115	20519
1082	53173	20473
1083	53211	20420
1084	53261	20371
1085	53292	20315
1086	53345	20268
1087	53403	20222
1088	53433	20166
1089	53475	20114
1090	53508	20059
1091	53546	20006
1092	53594	19957
1093	53630	19903
